0,1,2,3,4,5,6,7,8,9,10
citrus fruit,newspapers,shopping bags,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
whole milk,brandy,,,,,,,,,
dessert,ham,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
ham,rolls/buns,whole milk,rum,berries,cleaner,,,,,
frozen dessert,fruit/vegetable juice,,,,,,,,,
butter,canned beer,brown bread,canned beer,,,,,,,
ice cream,grapes,,,,,,,,,
rolls/buns,hygiene articles,,,,,,,,,
citrus fruit,flour,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
oil,processed cheese,,,,,,,,,
citrus fruit,bottled beer,,,,,,,,,
other vegetables,pastry,,,,,,,,,
dessert,whole milk,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
hamburger meat,cat food,,,,,,,,,
whole milk,rolls/buns,hygiene articles,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
sparkling wine,cream cheese ,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
domestic eggs,coffee,pastry,,,,,,,,
other vegetables,oil,,,,,,,,,
berries,sliced cheese,,,,,,,,,
beverages,coffee,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
pastry,baking powder,,,,,,,,,
packaged fruit/vegetables,pip fruit,,,,,,,,,
frozen fish,ketchup,,,,,,,,,
pastry,other vegetables,,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
margarine,cream cheese ,,,,,,,,,
butter,mustard,,,,,,,,,
red/blush wine,butter,soda,,,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
canned beer,frozen vegetables,,,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
oil,other vegetables,,,,,,,,,
citrus fruit,dog food,rolls/buns,soda,whole milk,fruit/vegetable juice,whipped/sour cream,yogurt,,,
bottled water,shopping bags,,,,,,,,,
tropical fruit,grapes,ice cream,sweet spreads,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
long life bakery product,ice cream,,,,,,,,,
yogurt,whole milk,,,,,,,,,
root vegetables,soda,,,,,,,,,
cream cheese ,other vegetables,,,,,,,,,
semi-finished bread,ketchup,,,,,,,,,
male cosmetics,pastry,,,,,,,,,
tropical fruit,dessert,,,,,,,,,
whole milk,oil,soups,,,,,,,,
root vegetables,whole milk,potato products,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
whole milk,whole milk,pastry,,,,,,,,
margarine,soda,,,,,,,,,
soda,frozen meals,liquor (appetizer),specialty chocolate,,,,,,,
tropical fruit,frozen dessert,,,,,,,,,
hamburger meat,tropical fruit,soda,,,,,,,,
rolls/buns,ice cream,,,,,,,,,
rolls/buns,root vegetables,specialty chocolate,,,,,,,,
soda,other vegetables,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
salty snack,rolls/buns,butter,tropical fruit,pastry,root vegetables,fruit/vegetable juice,semi-finished bread,,,
whole milk,cream cheese ,,,,,,,,,
whole milk,whole milk,,,,,,,,,
chocolate,whipped/sour cream,,,,,,,,,
pork,yogurt,,,,,,,,,
other vegetables,sausage,whole milk,butter milk,packaged fruit/vegetables,,,,,,
frankfurter,whole milk,,,,,,,,,
rolls/buns,margarine,soda,,,,,,,,
ham,yogurt,bottled water,,,,,,,,
salty snack,root vegetables,,,,,,,,,
meat,other vegetables,canned beer,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
misc. beverages,whole milk,,,,,,,,,
margarine,frozen fruits,,,,,,,,,
other vegetables,bottled beer,white bread,fruit/vegetable juice,,,,,,,
shopping bags,flower (seeds),curd cheese,decalcifier,,,,,,,
yogurt,rolls/buns,,,,,,,,,
rolls/buns,cake bar,,,,,,,,,
tropical fruit,soda,,,,,,,,,
tropical fruit,detergent,,,,,,,,,
citrus fruit,other vegetables,dessert,bottled beer,,,,,,,
rolls/buns,napkins,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
red/blush wine,whipped/sour cream,specialty cheese,abrasive cleaner,,,,,,,
yogurt,other vegetables,,,,,,,,,
bottled beer,brown bread,whole milk,misc. beverages,,,,,,,
whole milk,pip fruit,,,,,,,,,
frozen vegetables,other vegetables,napkins,,,,,,,,
bottled water,dessert,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
berries,cream cheese ,,,,,,,,,
whole milk,sausage,whole milk,yogurt,cake bar,female sanitary products,soda,,,,
root vegetables,onions,,,,,,,,,
pip fruit,soda,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
long life bakery product,bottled beer,,,,,,,,,
curd,frozen vegetables,,,,,,,,,
root vegetables,misc. beverages,,,,,,,,,
candy,specialty cheese,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
napkins,spices,,,,,,,,,
other vegetables,citrus fruit,rolls/buns,,,,,,,,
Instant food products,newspapers,,,,,,,,,
other vegetables,butter,,,,,,,,,
salt,yogurt,rolls/buns,whole milk,,,,,,,
pip fruit,salty snack,pastry,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
frankfurter,pip fruit,brown bread,,,,,,,,
soda,zwieback,pastry,,,,,,,,
sausage,bottled water,,,,,,,,,
domestic eggs,margarine,canned beer,candles,,,,,,,
onions,curd,,,,,,,,,
photo/film,canned beer,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
red/blush wine,curd,,,,,,,,,
pastry,brown bread,,,,,,,,,
yogurt,fruit/vegetable juice,,,,,,,,,
grapes,frozen vegetables,,,,,,,,,
citrus fruit,chocolate,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
soda,bottled beer,brown bread,,,,,,,,
yogurt,dog food,,,,,,,,,
bottled water,detergent,,,,,,,,,
shopping bags,rolls/buns,,,,,,,,,
sausage,other vegetables,,,,,,,,,
tropical fruit,turkey,salty snack,,,,,,,,
bottled beer,whole milk,shopping bags,,,,,,,,
soda,processed cheese,,,,,,,,,
rolls/buns,candy,,,,,,,,,
tropical fruit,whole milk,whole milk,,,,,,,,
citrus fruit,waffles,,,,,,,,,
cream cheese ,coffee,,,,,,,,,
pork,citrus fruit,,,,,,,,,
soda,whole milk,,,,,,,,,
butter,rolls/buns,,,,,,,,,
pork,tropical fruit,,,,,,,,,
brown bread,detergent,,,,,,,,,
other vegetables,domestic eggs,napkins,,,,,,,,
fruit/vegetable juice,waffles,tropical fruit,domestic eggs,liquor (appetizer),dessert,,,,,
sausage,whole milk,root vegetables,citrus fruit,,,,,,,
pot plants,pastry,,,,,,,,,
other vegetables,bottled water,whipped/sour cream,,,,,,,,
sausage,frozen dessert,,,,,,,,,
sausage,other vegetables,,,,,,,,,
soft cheese,rolls/buns,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
frankfurter,seasonal products,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
napkins,pastry,,,,,,,,,
frozen potato products,whole milk,,,,,,,,,
pip fruit,citrus fruit,,,,,,,,,
whole milk,onions,,,,,,,,,
nuts/prunes,white wine,,,,,,,,,
pastry,grapes,,,,,,,,,
beef,Instant food products,,,,,,,,,
frankfurter,chicken,white bread,whipped/sour cream,specialty fat,soft cheese,,,,,
packaged fruit/vegetables,shopping bags,,,,,,,,,
detergent,newspapers,other vegetables,ketchup,,,,,,,
mayonnaise,candy,rolls/buns,bottled beer,,,,,,,
bottled water,citrus fruit,,,,,,,,,
cereals,cream cheese ,other vegetables,,,,,,,,
root vegetables,sliced cheese,,,,,,,,,
brandy,whole milk,whole milk,bottled water,,,,,,,
yogurt,brown bread,,,,,,,,,
rolls/buns,meat,whole milk,domestic eggs,white bread,domestic eggs,,,,,
tropical fruit,margarine,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
soda,rolls/buns,,,,,,,,,
artif. sweetener,whole milk,,,,,,,,,
cat food,tropical fruit,whipped/sour cream,,,,,,,,
beef,other vegetables,,,,,,,,,
margarine,soda,whole milk,house keeping products,cling film/bags,bottled water,chocolate,frozen vegetables,,,
meat,citrus fruit,,,,,,,,,
hamburger meat,pasta,,,,,,,,,
salty snack,butter milk,,,,,,,,,
yogurt,shopping bags,coffee,,,,,,,,
frankfurter,tropical fruit,mustard,,,,,,,,
rolls/buns,frozen meals,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
yogurt,yogurt,cream cheese ,,,,,,,,
semi-finished bread,rolls/buns,,,,,,,,,
citrus fruit,soda,,,,,,,,,
specialty bar,yogurt,napkins,other vegetables,chocolate,,,,,,
tropical fruit,dish cleaner,bottled water,,,,,,,,
canned beer,bottled water,,,,,,,,,
other vegetables,bottled water,beverages,,,,,,,,
whole milk,red/blush wine,shopping bags,cream cheese ,canned beer,,,,,,
sausage,roll products ,,,,,,,,,
yogurt,margarine,long life bakery product,coffee,,,,,,,
soft cheese,chewing gum,cling film/bags,,,,,,,,
packaged fruit/vegetables,onions,,,,,,,,,
hamburger meat,packaged fruit/vegetables,baking powder,,,,,,,,
root vegetables,white bread,,,,,,,,,
other vegetables,jam,cat food,fruit/vegetable juice,,,,,,,
whole milk,hamburger meat,newspapers,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
newspapers,long life bakery product,napkins,,,,,,,,
bottled water,frozen vegetables,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
sliced cheese,cream cheese ,semi-finished bread,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
sausage,bottled beer,,,,,,,,,
sugar,dish cleaner,,,,,,,,,
beverages,other vegetables,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
whipped/sour cream,brown bread,sparkling wine,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
dessert,soda,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
tropical fruit,cling film/bags,,,,,,,,,
other vegetables,newspapers,rolls/buns,,,,,,,,
soda,shopping bags,canned beer,,,,,,,,
berries,whole milk,,,,,,,,,
napkins,white bread,,,,,,,,,
dessert,brown bread,,,,,,,,,
root vegetables,pastry,,,,,,,,,
beef,chewing gum,,,,,,,,,
ham,rolls/buns,,,,,,,,,
canned beer,tropical fruit,margarine,,,,,,,,
chicken,bottled water,,,,,,,,,
tropical fruit,frozen meals,,,,,,,,,
sausage,packaged fruit/vegetables,curd,fruit/vegetable juice,,,,,,,
pip fruit,other vegetables,,,,,,,,,
pasta,oil,,,,,,,,,
coffee,oil,newspapers,,,,,,,,
pip fruit,other vegetables,hard cheese,sausage,rolls/buns,pip fruit,grapes,other vegetables,,,
other vegetables,pastry,,,,,,,,,
pastry,pork,,,,,,,,,
canned beer,curd,,,,,,,,,
whole milk,soda,,,,,,,,,
hamburger meat,sliced cheese,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
sausage,root vegetables,,,,,,,,,
yogurt,soda,,,,,,,,,
citrus fruit,grapes,,,,,,,,,
citrus fruit,frankfurter,yogurt,ice cream,,,,,,,
turkey,packaged fruit/vegetables,frozen vegetables,,,,,,,,
brown bread,sugar,,,,,,,,,
whole milk,waffles,waffles,,,,,,,,
beef,white wine,,,,,,,,,
bottled beer,citrus fruit,frozen potato products,fruit/vegetable juice,sugar,sauces,,,,,
rolls/buns,whole milk,soda,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
yogurt,pet care,,,,,,,,,
citrus fruit,butter milk,,,,,,,,,
sausage,other vegetables,,,,,,,,,
chewing gum,misc. beverages,,,,,,,,,
soda,napkins,,,,,,,,,
whole milk,root vegetables,detergent,,,,,,,,
pork,butter,,,,,,,,,
dessert,pickled vegetables,cat food,,,,,,,,
soda,salt,,,,,,,,,
butter,potato products,,,,,,,,,
yogurt,roll products ,fruit/vegetable juice,,,,,,,,
long life bakery product,brown bread,popcorn,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
other vegetables,curd,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
chicken,tropical fruit,,,,,,,,,
onions,hygiene articles,,,,,,,,,
brown bread,newspapers,,,,,,,,,
frankfurter,whole milk,margarine,,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
soda,pork,bottled water,,,,,,,,
domestic eggs,other vegetables,brown bread,,,,,,,,
dessert,dental care,waffles,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
tropical fruit,tropical fruit,soda,salty snack,,,,,,,
sausage,pastry,dish cleaner,,,,,,,,
mustard,curd,,,,,,,,,
tropical fruit,soda,margarine,,,,,,,,
pastry,UHT-milk,,,,,,,,,
beef,fruit/vegetable juice,,,,,,,,,
soda,yogurt,,,,,,,,,
frankfurter,whole milk,fruit/vegetable juice,pasta,,,,,,,
bottled water,long life bakery product,root vegetables,mustard,,,,,,,
other vegetables,whole milk,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
shopping bags,fruit/vegetable juice,,,,,,,,,
butter,frozen meals,,,,,,,,,
brown bread,yogurt,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
butter,soda,,,,,,,,,
rolls/buns,seasonal products,other vegetables,white bread,,,,,,,
berries,bottled water,napkins,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
berries,shopping bags,red/blush wine,,,,,,,,
whole milk,whole milk,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
pip fruit,vinegar,misc. beverages,,,,,,,,
bottled water,cream cheese ,curd,,,,,,,,
berries,long life bakery product,,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
curd,other vegetables,,,,,,,,,
soda,flour,pudding powder,,,,,,,,
hamburger meat,seasonal products,,,,,,,,,
other vegetables,margarine,,,,,,,,,
tropical fruit,oil,,,,,,,,,
whipped/sour cream,yogurt,processed cheese,rolls/buns,,,,,,,
yogurt,chocolate,,,,,,,,,
pastry,canned beer,whipped/sour cream,grapes,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
beef,curd,,,,,,,,,
tropical fruit,curd,salt,bottled water,,,,,,,
pork,cream cheese ,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
sausage,margarine,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
beverages,other vegetables,root vegetables,,,,,,,,
pork,grapes,,,,,,,,,
long life bakery product,whipped/sour cream,bottled beer,,,,,,,,
other vegetables,beef,tropical fruit,root vegetables,shopping bags,,,,,,
sausage,other vegetables,,,,,,,,,
pip fruit,pip fruit,,,,,,,,,
seasonal products,other vegetables,bottled water,,,,,,,,
hamburger meat,salty snack,shopping bags,,,,,,,,
pork,yogurt,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
processed cheese,onions,root vegetables,,,,,,,,
finished products,whole milk,,,,,,,,,
other vegetables,condensed milk,,,,,,,,,
soda,red/blush wine,root vegetables,butter milk,,,,,,,
newspapers,misc. beverages,,,,,,,,,
root vegetables,rolls/buns,bottled beer,rolls/buns,,,,,,,
misc. beverages,oil,,,,,,,,,
butter milk,zwieback,pot plants,,,,,,,,
frankfurter,pip fruit,,,,,,,,,
semi-finished bread,white bread,,,,,,,,,
tropical fruit,detergent,,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
chicken,other vegetables,,,,,,,,,
tropical fruit,newspapers,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
pork,yogurt,,,,,,,,,
red/blush wine,dessert,curd,rolls/buns,,,,,,,
salty snack,chocolate marshmallow,,,,,,,,,
house keeping products,spread cheese,,,,,,,,,
canned beer,cookware,,,,,,,,,
meat,ice cream,,,,,,,,,
specialty bar,domestic eggs,,,,,,,,,
yogurt,pet care,,,,,,,,,
other vegetables,whole milk,soda,,,,,,,,
whole milk,other vegetables,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
turkey,rolls/buns,,,,,,,,,
ham,yogurt,,,,,,,,,
sausage,frankfurter,napkins,soda,,,,,,,
pork,pip fruit,yogurt,salty snack,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
pip fruit,soda,popcorn,,,,,,,,
yogurt,hygiene articles,,,,,,,,,
bathroom cleaner,popcorn,,,,,,,,,
sausage,bottled water,,,,,,,,,
chicken,butter,,,,,,,,,
bottled water,cling film/bags,,,,,,,,,
meat,bottled water,,,,,,,,,
specialty cheese,beverages,,,,,,,,,
other vegetables,whole milk,UHT-milk,other vegetables,frozen meals,whole milk,salty snack,,,,
canned beer,pip fruit,,,,,,,,,
butter,beef,,,,,,,,,
curd cheese,popcorn,,,,,,,,,
onions,canned fish,,,,,,,,,
berries,soda,butter,other vegetables,white bread,cream cheese ,,,,,
frankfurter,hard cheese,bottled beer,,,,,,,,
sugar,other vegetables,,,,,,,,,
tropical fruit,butter milk,,,,,,,,,
soda,shopping bags,napkins,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
beef,soda,coffee,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
beef,long life bakery product,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
citrus fruit,pastry,other vegetables,pastry,,,,,,,
mayonnaise,shopping bags,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
other vegetables,tropical fruit,pork,soda,,,,,,,
tropical fruit,hard cheese,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
canned beer,yogurt,cream cheese ,,,,,,,,
roll products ,soda,other vegetables,,,,,,,,
pip fruit,bottled water,,,,,,,,,
sugar,citrus fruit,napkins,,,,,,,,
chicken,cling film/bags,rolls/buns,,,,,,,,
sausage,bottled beer,,,,,,,,,
whole milk,citrus fruit,,,,,,,,,
root vegetables,curd,,,,,,,,,
domestic eggs,softener,,,,,,,,,
hamburger meat,brown bread,,,,,,,,,
tropical fruit,tropical fruit,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
meat,pastry,,,,,,,,,
bottled water,soda,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
whole milk,whipped/sour cream,soda,,,,,,,,
domestic eggs,bottled beer,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
waffles,tropical fruit,hard cheese,pickled vegetables,,,,,,,
other vegetables,hygiene articles,dessert,margarine,fruit/vegetable juice,hygiene articles,,,,,
yogurt,shopping bags,,,,,,,,,
brown bread,frozen vegetables,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
rolls/buns,soda,,,,,,,,,
margarine,soda,canned fish,,,,,,,,
rolls/buns,whole milk,shopping bags,,,,,,,,
semi-finished bread,cereals,,,,,,,,,
whipped/sour cream,salad dressing,,,,,,,,,
processed cheese,rolls/buns,,,,,,,,,
whole milk,whole milk,,,,,,,,,
tropical fruit,whole milk,liquor,,,,,,,,
rolls/buns,whole milk,other vegetables,,,,,,,,
yogurt,hard cheese,,,,,,,,,
frankfurter,yogurt,canned beer,,,,,,,,
citrus fruit,oil,specialty chocolate,,,,,,,,
sausage,rolls/buns,,,,,,,,,
turkey,bottled water,,,,,,,,,
beverages,whole milk,semi-finished bread,domestic eggs,,,,,,,
sausage,other vegetables,other vegetables,butter milk,,,,,,,
herbs,curd,,,,,,,,,
chewing gum,whole milk,white bread,whole milk,dishes,,,,,,
sausage,other vegetables,rolls/buns,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
hygiene articles,skin care,,,,,,,,,
dessert,jam,,,,,,,,,
pip fruit,newspapers,chocolate,,,,,,,,
rolls/buns,soft cheese,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
soda,other vegetables,,,,,,,,,
organic sausage,pip fruit,newspapers,whipped/sour cream,,,,,,,
whole milk,newspapers,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
ham,dessert,,,,,,,,,
chicken,onions,,,,,,,,,
whole milk,hard cheese,white bread,,,,,,,,
cream,frankfurter,soda,UHT-milk,,,,,,,
ham,whole milk,,,,,,,,,
meat,root vegetables,,,,,,,,,
domestic eggs,other vegetables,soda,,,,,,,,
herbs,vinegar,shopping bags,,,,,,,,
specialty chocolate,coffee,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
root vegetables,cream cheese ,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
spread cheese,shopping bags,,,,,,,,,
citrus fruit,pork,other vegetables,yogurt,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
finished products,cocoa drinks,,,,,,,,,
citrus fruit,chicken,bottled water,rolls/buns,,,,,,,
UHT-milk,margarine,,,,,,,,,
whole milk,long life bakery product,,,,,,,,,
chocolate,pasta,,,,,,,,,
tropical fruit,other vegetables,sugar,,,,,,,,
pickled vegetables,other vegetables,,,,,,,,,
butter,roll products ,,,,,,,,,
frankfurter,soda,,,,,,,,,
root vegetables,candy,,,,,,,,,
hamburger meat,salt,,,,,,,,,
bottled beer,frankfurter,pastry,sliced cheese,frozen vegetables,,,,,,
coffee,UHT-milk,,,,,,,,,
whole milk,processed cheese,curd,,,,,,,,
pork,soda,,,,,,,,,
citrus fruit,whole milk,specialty cheese,,,,,,,,
white bread,mayonnaise,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
tropical fruit,curd,,,,,,,,,
sausage,pip fruit,chocolate,,,,,,,,
tropical fruit,waffles,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
yogurt,pastry,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
specialty bar,roll products ,Instant food products,,,,,,,,
tropical fruit,spread cheese,,,,,,,,,
pip fruit,hard cheese,detergent,,,,,,,,
sliced cheese,cat food,,,,,,,,,
whole milk,pork,,,,,,,,,
canned beer,white wine,chocolate,,,,,,,,
pot plants,other vegetables,,,,,,,,,
whipped/sour cream,pastry,,,,,,,,,
frankfurter,brown bread,,,,,,,,,
meat,soda,cream cheese ,,,,,,,,
frankfurter,whole milk,rolls/buns,,,,,,,,
pork,pastry,,,,,,,,,
sausage,tropical fruit,frozen vegetables,other vegetables,shopping bags,,,,,,
soda,other vegetables,,,,,,,,,
frozen fish,whole milk,,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
sausage,pastry,,,,,,,,,
beef,citrus fruit,whole milk,yogurt,,,,,,,
sausage,detergent,hygiene articles,,,,,,,,
canned beer,red/blush wine,salty snack,,,,,,,,
beverages,specialty chocolate,,,,,,,,,
pork,rolls/buns,,,,,,,,,
cream cheese ,bottled water,,,,,,,,,
rolls/buns,soda,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
root vegetables,oil,,,,,,,,,
bottled water,shopping bags,bottled water,,,,,,,,
root vegetables,yogurt,,,,,,,,,
pasta,newspapers,,,,,,,,,
cat food,whole milk,chocolate,,,,,,,,
instant coffee,newspapers,hard cheese,salty snack,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
pot plants,frozen dessert,,,,,,,,,
cream cheese ,white bread,,,,,,,,,
soda,curd,soda,,,,,,,,
curd,red/blush wine,,,,,,,,,
pip fruit,rolls/buns,soda,,,,,,,,
pip fruit,napkins,shopping bags,,,,,,,,
pork,mustard,,,,,,,,,
frankfurter,newspapers,,,,,,,,,
packaged fruit/vegetables,dog food,,,,,,,,,
whole milk,brown bread,,,,,,,,,
sausage,shopping bags,,,,,,,,,
berries,oil,cat food,,,,,,,,
frozen meals,other vegetables,bottled beer,,,,,,,,
sausage,hygiene articles,ice cream,,,,,,,,
whole milk,soda,yogurt,,,,,,,,
pork,ice cream,yogurt,,,,,,,,
curd,misc. beverages,,,,,,,,,
brown bread,whole milk,,,,,,,,,
frankfurter,hard cheese,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
citrus fruit,whole milk,frozen vegetables,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
canned beer,brown bread,,,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
other vegetables,soda,,,,,,,,,
soda,sugar,,,,,,,,,
meat,fruit/vegetable juice,,,,,,,,,
pastry,misc. beverages,,,,,,,,,
finished products,ice cream,tropical fruit,whole milk,,,,,,,
newspapers,whole milk,chewing gum,,,,,,,,
pip fruit,onions,,,,,,,,,
packaged fruit/vegetables,other vegetables,,,,,,,,,
soups,margarine,,,,,,,,,
semi-finished bread,whole milk,mustard,,,,,,,,
sugar,shopping bags,,,,,,,,,
pip fruit,yogurt,flour,rolls/buns,,,,,,,
other vegetables,brown bread,,,,,,,,,
bottled water,bottled water,,,,,,,,,
rolls/buns,cat food,newspapers,,,,,,,,
bottled water,baking powder,UHT-milk,,,,,,,,
sausage,soda,,,,,,,,,
pip fruit,grapes,,,,,,,,,
chicken,bottled water,,,,,,,,,
domestic eggs,UHT-milk,,,,,,,,,
whole milk,detergent,soda,,,,,,,,
grapes,rolls/buns,,,,,,,,,
rolls/buns,pickled vegetables,,,,,,,,,
citrus fruit,shopping bags,tropical fruit,frankfurter,brown bread,rubbing alcohol,domestic eggs,whole milk,,,
sausage,ice cream,rolls/buns,,,,,,,,
liver loaf,fruit/vegetable juice,,,,,,,,,
pip fruit,beverages,,,,,,,,,
napkins,whole milk,,,,,,,,,
chocolate marshmallow,canned beer,,,,,,,,,
ham,berries,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
frankfurter,root vegetables,sugar,whole milk,,,,,,,
tropical fruit,canned vegetables,,,,,,,,,
waffles,Instant food products,,,,,,,,,
pork,yogurt,,,,,,,,,
soda,pastry,,,,,,,,,
hygiene articles,chicken,,,,,,,,,
chicken,herbs,frozen meals,,,,,,,,
beef,canned beer,,,,,,,,,
chewing gum,root vegetables,frozen vegetables,,,,,,,,
domestic eggs,white bread,whipped/sour cream,,,,,,,,
citrus fruit,ice cream,,,,,,,,,
margarine,rolls/buns,,,,,,,,,
bottled beer,soda,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
fish,newspapers,,,,,,,,,
pork,processed cheese,beef,white wine,soda,packaged fruit/vegetables,sliced cheese,beverages,,,
yogurt,pastry,,,,,,,,,
tropical fruit,other vegetables,domestic eggs,,,,,,,,
root vegetables,waffles,,,,,,,,,
chicken,frozen meals,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
candy,coffee,,,,,,,,,
cereals,soda,,,,,,,,,
whole milk,meat,,,,,,,,,
soda,pip fruit,pastry,jam,,,,,,,
bottled water,yogurt,rolls/buns,newspapers,frozen dessert,rolls/buns,,,,,
curd,whole milk,,,,,,,,,
onions,berries,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
tropical fruit,bottled water,whipped/sour cream,,,,,,,,
tropical fruit,brown bread,,,,,,,,,
herbs,chewing gum,,,,,,,,,
canned beer,specialty chocolate,other vegetables,cream cheese ,,,,,,,
berries,pork,whole milk,frozen vegetables,domestic eggs,,,,,,
hygiene articles,shopping bags,,,,,,,,,
soda,other vegetables,bottled water,white bread,frozen meals,onions,bottled beer,margarine,,,
tropical fruit,dishes,,,,,,,,,
grapes,berries,soda,condensed milk,waffles,nut snack,,,,,
pastry,pasta,,,,,,,,,
specialty chocolate,soda,chocolate,,,,,,,,
brown bread,rolls/buns,soda,whole milk,,,,,,,
butter,canned beer,domestic eggs,specialty chocolate,specialty chocolate,soda,root vegetables,canned fish,,,
frankfurter,citrus fruit,other vegetables,condensed milk,,,,,,,
other vegetables,soda,rolls/buns,,,,,,,,
flower soil/fertilizer,butter milk,,,,,,,,,
chicken,soda,packaged fruit/vegetables,,,,,,,,
dessert,rolls/buns,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
sugar,popcorn,baking powder,,,,,,,,
